Element;CaragataDown;CaragataUp;ZhengDown;ZhengUp;BaiaoDown;BaiaoUp;LindseyDown;LindseyUp
OG6_203511;0;0;0;1;0;0;0;0
OG6_115589;0;0;0;1;0;0;0;0
OG6_100257;0;0;0;1;0;0;0;0
OG6_174831;0;0;0;1;0;0;0;0
OG6_124369;0;0;0;1;0;0;0;0
OG6_108756;0;0;0;1;0;0;1;1
OG6_481256;0;0;0;1;0;0;0;0
OG6_203556;0;0;0;1;0;0;0;0
OG6_109168;0;0;0;1;0;0;0;0
OG6_108707;0;0;0;1;0;0;0;0
OG6_150900;0;0;0;1;0;0;0;0
OG6_136747;0;0;0;1;0;0;0;0
OG6_126664;0;0;0;1;0;0;0;0
OG6_481292;0;0;0;1;0;0;0;1
OG6_102121;0;0;0;1;0;0;0;0
OG6_203334;0;0;0;1;0;0;0;0
OG6_126525;0;0;0;1;0;0;0;0
OG6_100146;0;0;0;1;0;0;0;1
OG6_100756;0;0;0;1;0;0;0;0
OG6_100881;0;0;0;1;0;0;0;0
OG6_106457;0;0;0;1;0;0;0;1
OG6_480690;0;0;0;1;0;0;0;0
OG6_126511;0;0;0;1;0;0;0;0
OG6_106544;0;0;0;1;1;1;0;0
OG6_132306;0;0;0;1;0;0;0;0
OG6_142298;0;0;0;1;0;0;0;0
OG6_166299;0;0;0;1;0;0;0;0
OG6_186498;0;0;0;1;0;0;0;0
OG6_126492;0;0;0;1;0;0;0;0
OG6_105163;0;0;0;1;0;0;0;0
OG6_132301;0;0;0;1;0;0;0;0
OG6_481321;0;0;0;1;0;0;0;0
OG6_106194;0;0;0;1;0;0;0;0
OG6_114639;0;0;0;1;0;0;1;0
OG6_136474;0;0;0;1;0;0;0;0
OG6_105375;0;0;0;1;0;0;0;0
OG6_141884;0;0;0;1;0;0;0;0
OG6_112839;0;0;0;1;0;0;0;0
OG6_128997;0;0;0;1;0;0;0;0
OG6_100705;0;0;0;1;0;0;0;0
OG6_480292;0;0;0;1;0;0;0;0
OG6_203256;0;0;0;1;0;0;0;0
OG6_108297;0;0;0;1;0;0;0;0
OG6_114817;0;0;0;1;0;0;0;0
