enrichment_id,name,log2fc
fbgn0037878,cg6693,-0.67
fbgn0003733,tor,-0.67
fbgn0004359,t48,-0.67
fbgn0265575,yin,-0.67
fbgn0026144,cbp,-0.66
fbgn0032906,rpa2,-0.66
fbgn0052579,cg32579,-0.65
fbgn0266000,cg44774,-0.65
fbgn0002778,mnd,-0.65
fbgn0022338,dnk,-0.65
fbgn0011705,rost,-0.64
fbgn0038252,bigh1,-0.64
fbgn0010309,pigeon,-0.63
fbgn0036660,cg13025,-0.63
fbgn0033773,mos,-0.63
fbgn0034021,cg8180,-0.62
fbgn0000251,cad,-0.61
fbgn0026238,gus,-0.6
fbgn0033486,dmpd,-0.6
fbgn0034299,cg5757,-0.6
fbgn0003041,pbl,-0.6
fbgn0031535,cg12795,-0.6
fbgn0028375,heix,-0.6
fbgn0031381,npc2a,-0.6
fbgn0014859,hr38,-0.59
fbgn0039773,cg2224,-0.58
fbgn0034282,mapmodulin,-0.58
fbgn0037376,hat1,-0.58
fbgn0033871,cg13339,-0.58
fbgn0005683,pie,-0.58
fbgn0261854,apkc,-0.57
fbgn0036893,pig-f,-0.57
fbgn0032726,cg10621,-0.57
fbgn0011704,rnrs,-0.56
fbgn0026084,cib,-0.55
fbgn0033752,cg8569,-0.55
fbgn0004698,xpc,-0.54
fbgn0034433,endob,-0.54
fbgn0262743,fs(2)ket,-0.53
fbgn0019686,lok,-0.52
fbgn0034009,cg8155,-0.51
fbgn0003124,polo,-0.51
fbgn0026430,grip84,-0.51
fbgn0261108,atg13,-0.51
fbgn0004649,yl,-0.5
fbgn0030206,cg2889,-0.5
fbgn0039637,ctl2,-0.5
fbgn0086908,egg,-0.5
fbgn0002719,men,-0.5
fbgn0032042,cg13398,-0.5
fbgn0283500,sac1,-0.49
fbgn0032197,ova,-0.48
fbgn0278978,none,-0.47
fbgn0037548,cg7900,-0.47
fbgn0033635,prip,-0.44
fbgn0037756,cg8507,-0.44
fbgn0086384,mer,-0.44
fbgn0039348,npl4,-0.43
fbgn0029819,usp30,-0.43
fbgn0037468,cg1943,-0.42
fbgn0004864,hop,-0.41
fbgn0029157,ssh,-0.4
