enrichment_id,name,log2fc
fbgn0050047,cg30047,1.586093556
fbgn0263983,cg43732,1.582429345
fbgn0030593,cg9512,1.580311398
fbgn0263994,cg43737,1.578992499
fbgn0053511,cg33511,1.578992499
fbgn0052017,cg32017,1.55506666
fbgn0037976,tk,1.55506666
fbgn0036466,cg18581,1.538040558
fbgn0032087,cg9568,1.537395634
fbgn0043575,pgrp-sc2,1.536740012
fbgn0261549,rdga,1.534458793
fbgn0263109,cg43366,1.52183033
fbgn0262000,cg42818,1.512631394
fbgn0038734,cg11453,1.509552001
fbgn0032733,cg15170,1.507942748
fbgn0261925,cg42792,1.476289547
fbgn0250757,cg42235,1.466737379
fbgn0265185,cg44250,1.466675623
fbgn0040503,cg7763,1.457769459
fbgn0085234,cg34205,1.457769459
fbgn0028408,drep2,1.452347825
fbgn0264776,cg44014,1.450933972
fbgn0015039,cyp9b2,1.434263873
fbgn0000594,est-p,1.430515834
fbgn0262656,myc,1.427547671
fbgn0265416,neto,1.414833343
fbgn0034407,dptb,1.412108706
fbgn0000592,est-6,1.404597767
fbgn0264566,cg43938,1.398621573
fbgn0032435,oatp33eb,1.397154176
fbgn0033913,cg8468,1.392299158
fbgn0053503,cyp12d1-d,1.373847051
fbgn0031872,ihog,1.37059335
fbgn0050395,cg30395,1.363246077
fbgn0000639,fbp1,1.360453226
fbgn0052251,claspin,1.353432799
fbgn0085412,cg34383,1.350515315
fbgn0261085,syt12,1.34700653
fbgn0086680,vvl,1.344796887
fbgn0264339,cg43795,1.343212956
fbgn0039154,npc2f,1.336359285
fbgn0051104,cg31104,1.334067474
fbgn0035544,cg15021,1.327065767
fbgn0041709,yellow-g,1.324286453
fbgn0031561,im33,1.314165878
fbgn0029728,cg2861,1.308767355
fbgn0261987,pxt,1.308732991
fbgn0053902,his2b:cg33902,1.297631965
fbgn0033221,cg12825,1.293561343
fbgn0038466,cg8907,1.289302461
fbgn0262880,cg43235,1.281583455
fbgn0037181,cg11370,1.280453353
fbgn0051928,cg31928,1.270291563
fbgn0020617,rx,1.268543901
fbgn0038469,cg4009,1.26283025
fbgn0031522,cg3285,1.259981888
fbgn0004607,zfh2,1.248618681
fbgn0261262,cg42613,1.246488345
fbgn0026760,tehao,1.245629509
fbgn0032658,cg5681,1.245460288
fbgn0259101,cg42249,1.244748743
fbgn0033139,tsp42er,1.241722411
fbgn0265267,cg18258,1.235605921
fbgn0035315,cg8960,1.234863933
fbgn0032088,cg13102,1.232114333
fbgn0001120,gnu,1.227901917
fbgn0014019,rh5,1.227901917
fbgn0050277,oatp58da,1.223456012
fbgn0038819,cpr92f,1.212318021
fbgn0004425,lysb,1.211858954
fbgn0013275,hsp70aa,1.210908002
fbgn0002939,ninad,1.209503006
fbgn0001112,gld,1.198242825
fbgn0266098,rg,1.193953307
fbgn0050151,cg30151,1.193610201
fbgn0026401,nipped-b,1.185572445
fbgn0033047,cg7882,1.183967181
fbgn0085244,cg34215,1.181491885
fbgn0024361,tsp2a,1.165183139
fbgn0029826,cg6041,1.162749237
fbgn0005670,cyp4d1,1.162749237
none,ugt86dj,1.158616622
fbgn0031632,cg15628,1.157035586
fbgn0085447,sif,1.141361708
fbgn0034070,sp2353,1.13278804
fbgn0286516,cg9821,1.131668866
fbgn0250841,cg17242,1.129546085
fbgn0032946,nrv3,1.129115501
fbgn0031701,totm,1.127651779
fbgn0035968,slc45-1,1.126711207
fbgn0023549,mct1,1.113247853
fbgn0039923,med26,1.112350494
fbgn0051898,cg31898,1.111675053
fbgn0283461,drs,1.111504026
fbgn0029746,cg15465,1.10972508
fbgn0262003,cg42821,1.107558944
fbgn0028381,decay,1.107453557
fbgn0032810,cg13077,1.10365449
fbgn0031517,cg15406,1.101178232
fbgn0266459,cg45084,1.098911625
fbgn0052036,cg32036,1.098859972
fbgn0263352,unr,1.092243862
fbgn0040022,set1,1.089839933
fbgn0028901,cg18109,1.089559217
fbgn0262547,cg43101,1.088372363
fbgn0011481,ssdp,1.083809061
fbgn0000355,cp15,1.082130777
fbgn0036969,spn77bb,1.081670661
fbgn0038285,cg6974,1.080084884
fbgn0028396,tota,1.078437316
fbgn0032373,vha100-5,1.078014669
fbgn0037807,cg6293,1.077911418
fbgn0263995,cpo,1.076957349
fbgn0034783,cg9825,1.076184534
fbgn0027611,lmanii,1.075342507
fbgn0250908,beat-vii,1.07332488
fbgn0034664,cg4377,1.069639833
fbgn0036970,spn77bc,1.068858503
none,ugt36ba,1.067128614
fbgn0015336,cg15865,1.067128614
fbgn0038700,cg3734,1.066494981
fbgn0054027,cg34027,1.06502183
fbgn0051821,cg31821,1.063926182
fbgn0015591,asta,1.0625316
fbgn0040349,cg3699,1.057344709
fbgn0262022,cg42833,1.051968806
fbgn0031560,cg16713,1.049883233
fbgn0260968,cg42591,1.048992131
fbgn0032021,cg7781,1.041027478
fbgn0285970,cg32500,1.034586152
fbgn0036851,cg14082,1.031504704
fbgn0053196,dpy,1.030764671
fbgn0040351,cg11638,1.030534943
fbgn0263761,cg43678,1.024125174
fbgn0052797,cg32797,1.020533586
fbgn0028518,cg18480,1.018448551
fbgn0053012,cg33012,1.018329315
fbgn0031004,cg7992,1.010746144
fbgn0030940,cg15040,1.006997002
fbgn0029167,hml,1.005141727
fbgn0023213,eif4g1,1.003954304
fbgn0036419,cg13482,1.003490328
fbgn0011603,ine,1.002804392
fbgn0265042,irk1,1.001577735
fbgn0050160,cg30160,-6.612639996
fbgn0053894,his2b:cg33894,-6.34839346
fbgn0053804,his1:cg33804,-6.221728235
fbgn0053896,his2b:cg33896,-5.579667676
fbgn0284223,cg46307,-4.254771081
fbgn0035859,cg13678,-3.875385892
fbgn0037724,fst,-3.520593163
fbgn0053880,his2b:cg33880,-3.515305713
fbgn0030492,cg15754,-3.138420298
fbgn0053872,his2b:cg33872,-3.000895999
fbgn0037424,osi15,-2.575152868
fbgn0053906,his2b:cg33906,-2.480682304
fbgn0034010,cg8157,-2.329682821
fbgn0030544,cg13403,-2.258001913
fbgn0020880,cg7179,-2.156122299
fbgn0067782,att-orfb,-2.151136515
fbgn0266175,pre-mod(mdg4)-p,-1.972116568
fbgn0261054,sfp24bc,-1.956813491
fbgn0032803,cg13082,-1.875385892
fbgn0038873,cg5892,-1.866615682
fbgn0053998,cg33998,-1.861580092
fbgn0050082,cg30082,-1.842964414
fbgn0035476,cg12766,-1.83639176
fbgn0036235,cg6938,-1.787254981
fbgn0264488,cg43896,-1.775850218
fbgn0035343,cg16762,-1.743903698
fbgn0026874,cg13358,-1.718517043
fbgn0042201,nplp3,-1.715549708
fbgn0041243,gr43a,-1.712448787
fbgn0035176,cg13905,-1.70379207
fbgn0053346,cg33346,-1.642267064
fbgn0033602,cpr47ee,-1.630889284
fbgn0038159,cg14369,-1.553457797
fbgn0002922,nau,-1.546849013
fbgn0034011,cg8160,-1.470995637
fbgn0035553,cg13722,-1.462034769
fbgn0036873,cg18294,-1.457440417
fbgn0267045,cg45489,-1.360889821
fbgn0033580,cg13231,-1.357537587
fbgn0052040,cg32040,-1.326047301
fbgn0015010,ag5r,-1.325188809
fbgn0038033,cg10097,-1.302140149
fbgn0053301,cg33301,-1.287882689
fbgn0038946,rdhb,-1.276617591
fbgn0085330,cg34301,-1.269664831
fbgn0038450,cg17560,-1.237312055
fbgn0030895,cg7135,-1.213607794
fbgn0010019,cyp4g1,-1.213103569
fbgn0261723,dbx,-1.20296055
fbgn0050087,cg30087,-1.200059363
fbgn0031277,cg13947,-1.198288278
fbgn0015570,alpha-est2,-1.182620101
fbgn0032055,cg13091,-1.164357087
fbgn0035875,cpr66cb,-1.162505916
fbgn0283480,alp2,-1.153080604
fbgn0002938,ninac,-1.149825061
fbgn0260658,cg42541,-1.143937302
fbgn0267043,cg45487,-1.13667728
fbgn0034703,cg3045,-1.12125353
fbgn0039656,cg11951,-1.118242416
fbgn0037548,cg7900,-1.112165657
fbgn0033464,cg1441,-1.078605053
fbgn0052656,muc11a,-1.078170319
fbgn0261963,mid,-1.078119787
fbgn0029814,cg15765,-1.044444149
fbgn0031305,iris,-1.043783423
fbgn0031547,sr-civ,-1.009836091
fbgn0050090,cg30090,-1.00764505
fbgn0051036,cg31036,-1.003260714
