enrichment_id,name,log2fc
fbgn0003082,phr,0.59
fbgn0266084,fhos,0.59
fbgn0038593,vps39,0.56
fbgn0266918,cg32486,0.56
fbgn0263593,lpin,0.54
fbgn0003227,rec,0.54
fbgn0031678,nepl3,0.54
fbgn0030839,cg5613,0.53
fbgn0038475,keap1,0.53
fbgn0086254,akr1b,0.52
fbgn0032521,cg7110,0.51
fbgn0032633,lrch,0.49
fbgn0262955,rpii140,0.49
fbgn0011672,mvl,0.45
fbgn0035955,cg5194,0.45
fbgn0052638,cg32638,0.43
fbgn0039348,npl4,0.42
fbgn0261794,kcc,0.41
fbgn0037234,cg9795,0.41
fbgn0032135,glcat-s,0.4
fbgn0000032,acph-1,0.38
fbgn0011754,phkgamma,0.36
fbgn0002899,mus301,0.35
fbgn0035558,cg11357,0.34
fbgn0032455,pih1d1,0.34
fbgn0038662,mpc1,0.33
fbgn0034628,acox57d-p,0.32
fbgn0032938,cg8671,0.3
fbgn0052699,lpcat,0.3
fbgn0037844,cg4570,-8.21
fbgn0031018,narya,-5.4
fbgn0002645,map205,-5.35
fbgn0263001,cr43309,-4.57
fbgn0037548,cg7900,-4.55
fbgn0267160,asrna:cr45600,-4.2
fbgn0036738,cg7542,-4
fbgn0032891,oseg5,-3.99
fbgn0264675,lncrna:cr43960,-3.73
fbgn0032869,cg17470,-3.46
fbgn0037811,cg12592,-3.29
fbgn0053926,cg33926,-3.23
fbgn0034715,oatp58db,-3.11
fbgn0052282,drsl4,-2.71
fbgn0050361,mtt,-2.67
fbgn0033392,cg8027,-2.65
fbgn0016054,phr6-4,-2.64
fbgn0039098,gilt3,-2.59
fbgn0003285,rst,-2.44
fbgn0038613,vha100-4,-2.14
fbgn0027070,ugt36e1,-2.12
fbgn0028369,kirre,-2.07
fbgn0035978,ugp,-2.06
fbgn0034292,cg5767,-1.99
fbgn0267001,ten-a,-1.95
fbgn0033216,cg1946,-1.81
fbgn0026268,antdh,-1.72
fbgn0030357,sclp,-1.68
fbgn0013307,odc1,-1.65
fbgn0039232,sosie,-1.63
fbgn0038889,fancm,-1.63
fbgn0052834,cg32834,-1.57
fbgn0262900,cg43255,-1.48
fbgn0034663,cg4363,-1.45
fbgn0030048,cg12112,-1.44
fbgn0004400,rhi,-1.44
fbgn0038237,pde6,-1.43
fbgn0031176,whe,-1.4
fbgn0001224,hsp23,-1.4
fbgn0002868,mtna,-1.38
fbgn0046776,cr14033,-1.29
fbgn0033214,cg1941,-1.28
fbgn0038744,cg4733,-1.27
fbgn0035264,oseg4,-1.27
fbgn0039321,cg10550,-1.24
fbgn0000477,dnaseii,-1.23
fbgn0085359,cg34330,-1.21
fbgn0001149,gstd1,-1.14
fbgn0052243,cg32243,-1.11
fbgn0026602,ady43a,-1.08
fbgn0037999,cg4860,-1.02
fbgn0028572,qtc,-1.02
fbgn0010504,kermit,-1
fbgn0038741,cg17186,-0.98
fbgn0033356,cg8229,-0.96
fbgn0033431,cg1827,-0.95
fbgn0039297,cg11852,-0.93
fbgn0034564,cg9344,-0.93
fbgn0000246,c(3)g,-0.89
fbgn0036906,cg14102,-0.86
fbgn0037696,gstz1,-0.85
fbgn0038277,rps5b,-0.85
