GO_term	Dm_F_wh_L(up)	Dm_F_wh_L(down)	Dm_F_ov(up)	Dm_F_ov(down)	Dp_F_ab(up)	Dp_F_ab(down)	Dp_F_hd(up)	Dp_F_hd(down)	Dp_M_ab(up)	Dp_M_ab(down)	Dp_M_hd(up)	Dp_M_hd(down)	Dm_F_wh_D(up)	Dm_F_wh_D(down)	Dm_M_ts(up)	Dm_M_ts(down)	Af_F_wh(up)	Af_F_wh(down)
GO:0022857	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
GO:0046989	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GO:0140359	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0046906	1	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0
GO:0051119	1	0	1	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0
GO:0044389	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0043878	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0033764	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0070003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0061783	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
GO:0032549	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0031625	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0020037	1	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0
GO:0047184	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0047718	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0022839	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015144	1	0	1	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0
GO:0004180	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1
GO:0004303	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0004364	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
GO:0003913	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005215	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
GO:0003904	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005381	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005384	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0005402	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GO:0003785	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0008194	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
GO:0008375	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0004022	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0015018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0018455	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
GO:0008233	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1
GO:0016229	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
GO:0015075	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0
GO:0051011	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
